DATE,HOME TEAM,AWAY TEAM,Winner (H/A),HOME PTS,HOME FGM,HOME FGA,HOME FG%,HOME 3PM,HOME 3PA,HOME 3P%,HOME FTM,HOME FTA,HOME FT%,HOME OREB,HOME DREB,HOME REB,HOME AST,HOME TOV,HOME STL,HOME BLK,HOME PF,HOME +/-,AWAY PTS,AWAY FGM,AWAY FGA,AWAY FG%,AWAY 3PM,AWAY 3PA,AWAY 3P%,AWAY FTM,AWAY FTA,AWAY FT%,AWAY OREB,AWAY DREB,AWAY REB,AWAY AST,AWAY TOV,AWAY STL,AWAY BLK,AWAY PF,AWAY +/-
"Dec 13, 2021",ATL,HOU,A,115.2,41.58,87.95,47.43,13.0,35.11,36.85,19.04,23.36,81.76,9.76,33.15,42.91,24.96,11.64,7.35,4.15,19.07,1.42,111.13,39.82,86.6,46.12,13.64,38.93,34.83,17.85,24.84,71.9,9.55,31.36,40.91,23.76,15.98,7.4,4.42,20.64,-9.84
"Dec 10, 2021",ATL,BKN,A,115.39,41.59,87.89,47.47,13.04,35.18,36.88,19.18,23.5,81.85,9.73,33.12,42.86,24.88,11.64,7.38,4.18,19.2,1.29,114.66,42.88,89.52,48.11,11.39,31.36,36.33,17.52,21.84,79.78,11.14,33.11,44.25,25.21,14.18,7.25,5.55,20.68,-0.39
"Dec 06, 2021",MIN,ATL,A,119.22,42.53,90.4,47.11,15.05,40.95,36.97,19.1,24.48,77.89,10.28,33.14,43.41,26.72,13.72,8.79,5.43,21.29,3.57,115.21,41.51,88.0,47.33,13.0,35.16,36.8,19.19,23.51,81.88,9.84,33.12,42.96,24.81,11.7,7.42,4.16,19.19,1.12
"Dec 05, 2021",ATL,CHA,A,115.31,41.48,88.03,47.28,13.21,35.4,37.04,19.14,23.43,81.92,9.86,33.21,43.07,24.91,11.71,7.38,4.22,19.21,1.29,115.26,42.81,90.75,47.36,13.75,38.6,35.66,15.89,21.49,74.65,10.96,33.79,44.75,28.86,13.39,8.47,4.67,20.12,0.79
"Dec 03, 2021",ATL,PHI,A,115.51,41.59,88.12,47.35,13.27,35.42,37.19,19.05,23.34,81.85,9.86,33.24,43.1,24.98,11.69,7.32,4.2,19.2,1.22,111.42,39.42,83.86,47.07,11.64,31.73,36.38,20.93,25.42,81.95,8.42,33.8,42.22,24.19,12.61,7.58,5.05,19.53,3.24
"Dec 01, 2021",IND,ATL,A,113.14,41.67,89.45,46.66,12.24,34.95,35.0,17.55,22.86,77.53,11.76,31.14,42.9,26.03,14.41,7.16,5.33,20.43,-5.34,115.18,41.42,87.92,47.24,13.22,35.3,37.17,19.13,23.45,81.82,9.88,33.28,43.17,24.9,11.75,7.28,4.18,19.22,1.17
"Nov 27, 2021",ATL,NYK,A,115.16,41.46,87.89,47.3,13.26,35.26,37.35,18.98,23.26,81.84,9.84,33.3,43.13,24.89,11.77,7.23,4.25,19.15,1.2,106.53,37.45,85.81,43.64,13.06,36.85,35.47,18.56,25.13,73.94,11.82,34.29,46.11,22.02,13.02,6.97,4.53,20.76,-0.21
"Nov 26, 2021",MEM,ATL,A,117.38,44.17,94.7,46.74,11.4,31.81,35.69,17.63,24.33,72.83,14.59,35.54,50.13,26.25,13.1,9.83,6.7,20.08,9.4,114.76,41.32,87.97,47.11,13.19,35.29,37.14,18.92,23.21,81.73,9.89,33.39,43.27,24.77,11.69,7.24,4.27,19.11,1.03
"Nov 24, 2021",SAS,ATL,A,114.69,43.29,92.68,46.76,11.63,32.82,35.39,16.48,21.46,76.98,11.35,34.37,45.72,27.95,12.54,7.32,4.88,18.48,1.08,115.03,41.49,87.98,47.29,13.19,35.16,37.32,18.86,23.17,81.57,9.87,33.49,43.37,24.9,11.7,7.25,4.29,19.05,1.52
"Nov 22, 2021",ATL,OKC,H,115.17,41.55,87.98,47.35,13.17,35.02,37.45,18.91,23.19,81.73,9.84,33.53,43.38,24.92,11.69,7.3,4.3,18.92,1.78,105.05,38.74,88.97,43.58,12.15,37.08,32.74,15.42,20.26,76.17,10.26,34.6,44.86,22.74,13.83,7.72,4.71,18.54,-8.31
